Latitude,Longitude,Altitude,Distance,Alignment,Distance_Sensors,Proximity,Wheel_Speed,Velocity,Hall_Effect,Emergency_Stop,Temperature,Humidity,Light_Level,Alignment_Label,Safety_Label,Collision_Avoidance_Label,Chaining_Unchaining_Label
37.41788452106059,-121.81084538431824,30.628426159461664,0.0,False,2.693672367290296,True,2.2320980206350334,0.66962940619051,True,True,19.520754272772933,44.387676248036776,70.42376077383949,Not_Aligned,Unsafe,High_Risk,Unchaining
37.4178845205606,-121.8108443843184,30.628426159461664,0.0003,True,1.7472200775280553,True,3.645406451339842,1.0936219354019523,False,True,22.24408226062889,34.777122109006754,983.3619068973449,Aligned,Unsafe,High_Risk,Unchaining
37.41788451906059,-121.81084338431955,30.628426159461664,0.0006,False,4.850865924360699,True,3.764647241424404,1.129394172427321,False,False,15.58879858227246,67.37901162545057,415.4668877547164,Not_Aligned,Unsafe,High_Risk,Unchaining
37.4178845165606,-121.81084238432274,30.628426159461664,0.0009,False,3.869834427649412,True,4.92667280897732,1.4780018426931958,True,False,26.79693779975122,50.14118604743678,628.5436830718381,Not_Aligned,Safe,High_Risk,Unchaining
37.417884513060606,-121.81084138432892,30.628426159461664,0.0012,True,1.1571377182929177,False,0.970340381856558,0.2911021145569674,True,False,23.59374287880973,60.23625780610308,456.5167947814032,Aligned,Safe,Medium_Risk,Unchaining
37.41788450856062,-121.81084038433907,30.628426159461664,0.0015,False,2.5301766291245205,True,3.52111637958362,1.056334913875086,False,False,14.354742191684371,38.16222048950745,283.1710088755727,Not_Aligned,Unsafe,High_Risk,Unchaining
37.41788450306065,-121.81083938435424,30.628426159461664,0.0018,True,2.320124439490691,False,4.072943922032378,1.2218831766097134,False,True,17.02726241187579,33.953528413148135,189.37023217596416,Aligned,Unsafe,High_Risk,Unchaining
37.417884496560696,-121.8108383843754,30.628426159461664,0.0021,False,3.161826963625741,False,1.2874607966537317,0.3862382389961194,False,False,11.087243572133945,64.28272580744932,115.3878630164784,Not_Aligned,Unsafe,Medium_Risk,Unchaining
37.41788448906077,-121.81083738440356,30.628426159461664,0.0024,True,1.83171039314148,False,0.6554867244499838,0.1966460173349951,False,False,33.744508370199,43.16399351317542,985.6592694269476,Aligned,Unsafe,Medium_Risk,Unchaining
37.41788448056087,-121.81083638443974,30.628426159461664,0.0027,True,1.8103200640370505,True,0.5728452911094132,0.1718535873328239,True,True,18.73933025812508,49.2893637103689,349.0396178799227,Aligned,Unsafe,High_Risk,Unchaining
