Latitude,Longitude,Altitude,Distance
37.77537549420263,-121.89774668133896,73.07121831391255,0.0
37.77537549370263,-121.89774568133913,73.07121831391255,0.0003
37.77537549220263,-121.89774468134028,73.07121831391255,0.0006
37.77537548970263,-121.89774368134346,73.07121831391255,0.0009
37.77537548620264,-121.89774268134963,73.07121831391255,0.0012
37.77537548170265,-121.89774168135979,73.07121831391255,0.0015
37.77537547620268,-121.89774068137496,73.07121831391255,0.0018
37.77537546970273,-121.89773968139612,73.07121831391255,0.0021
37.7753754622028,-121.89773868142429,73.07121831391255,0.0024
37.77537545370291,-121.89773768146046,73.07121831391255,0.0027
37.77537544420305,-121.89773668150562,73.07121831391255,0.003
37.77537543370324,-121.89773568156079,73.07121831391255,0.0032999999999999995
37.775375422203496,-121.89773468162696,73.07121831391255,0.0036
37.77537540970382,-121.89773368170512,73.07121831391255,0.0039000000000000003
37.77537539620423,-121.89773268179628,73.07121831391255,0.0042
37.77537538170474,-121.89773168190145,73.07121831391255,0.0045
37.77537536620536,-121.89773068202162,73.07121831391255,0.0048
37.77537534970611,-121.89772968215777,73.07121831391255,0.0051
37.775375332207005,-121.89772868231094,73.07121831391255,0.0054
37.77537531370806,-121.8977276824821,73.07121831391255,0.005699999999999999
37.7753752942093,-121.89772668267227,73.07121831391255,0.006
37.775375273710736,-121.89772568288242,73.07121831391255,0.0063
37.77537525221239,-121.89772468311358,73.07121831391255,0.006599999999999999
37.77537522971429,-121.89772368336673,73.07121831391255,0.0069
37.77537520621645,-121.8977226836429,73.07121831391255,0.0072
37.77537518171891,-121.89772168394305,73.07121831391255,0.0075
37.77537515622167,-121.8977206842682,73.07121831391255,0.0078000000000000005
37.77537512972477,-121.89771968461933,73.07121831391255,0.0081
37.77537510222824,-121.89771868499749,73.07121831391255,0.0084
37.7753750737321,-121.89771768540362,73.07121831391255,0.0087
37.77537504423638,-121.89771668583876,73.07121831391255,0.009
37.77537501374111,-121.89771568630388,73.07121831391255,0.0093
37.77537498224632,-121.89771468680001,73.07121831391255,0.0096
37.77537494975204,-121.89771368732814,73.07121831391255,0.0099
37.77537491625831,-121.89771268788925,73.07121831391255,0.0102
37.77537488176515,-121.89771168848435,73.07121831391255,0.0105
37.77537484627261,-121.89771068911446,73.07121831391255,0.0108
37.775374809780715,-121.89770968978054,73.07121831391255,0.011099999999999999
37.77537477228951,-121.89770869048363,73.07121831391255,0.011399999999999999
37.77537473379902,-121.89770769122471,73.07121831391255,0.0117
37.77537469430929,-121.89770669200477,73.07121831391255,0.012
